interp_r,interp_d,interp_mp1,interp_mp2,interp_mp3
4040,4.728184,12.21873,20.12345,28.09484
4050,4.731922,12.22018,20.12433,28.09547
4060,4.735668,12.22163,20.12521,28.0961
4070,4.739419,12.22308,20.12609,28.09673
4080,4.743176,12.22454,20.12698,28.09736
4090,4.746939,12.226,20.12786,28.098
4100,4.75071,12.22746,20.12875,28.09864
4110,4.754486,12.22893,20.12964,28.09927
4120,4.758268,12.2304,20.13054,28.09991
4130,4.762056,12.23187,20.13143,28.10055
4140,4.765851,12.23335,20.13233,28.1012
4150,4.769651,12.23483,20.13323,28.10184
4160,4.773458,12.23631,20.13413,28.10249
4170,4.777271,12.2378,20.13503,28.10314
4180,4.78109,12.23929,20.13594,28.10378
4190,4.784915,12.24078,20.13685,28.10443
4200,4.788746,12.24228,20.13776,28.10509
4210,4.792583,12.24378,20.13867,28.10574
4220,4.796427,12.24529,20.13958,28.10639
4230,4.800277,12.24679,20.1405,28.10705
4240,4.804132,12.2483,20.14142,28.10771
4250,4.807993,12.24982,20.14234,28.10837
4260,4.811861,12.25133,20.14326,28.10903
4270,4.815734,12.25286,20.14419,28.10969
4280,4.819613,12.25438,20.14511,28.11036
4290,4.823498,12.25591,20.14604,28.11102
4300,4.827389,12.25744,20.14697,28.11169
4310,4.831286,12.25897,20.14791,28.11236
4320,4.835189,12.26051,20.14884,28.11303
4330,4.839097,12.26205,20.14978,28.1137
4340,4.843012,12.26359,20.15072,28.11437
4350,4.846933,12.26514,20.15166,28.11505
4360,4.850859,12.26669,20.15261,28.11573
4370,4.854792,12.26825,20.15355,28.1164
4380,4.858729,12.26981,20.1545,28.11708
4390,4.862673,12.27137,20.15545,28.11777
4400,4.866622,12.27293,20.1564,28.11845
4410,4.870578,12.2745,20.15736,28.11913
4420,4.874539,12.27607,20.15831,28.11981
4430,4.878506,12.27765,20.15927,28.12051
4440,4.882479,12.27922,20.16023,28.12119
4450,4.886456,12.2808,20.1612,28.12188
4460,4.89044,12.28239,20.16216,28.12258
4470,4.89443,12.28398,20.16313,28.12327
4480,4.898425,12.28557,20.1641,28.12396
4490,4.902427,12.28716,20.16507,28.12466
4500,4.906433,12.28876,20.16605,28.12536
4510,4.910445,12.29036,20.16702,28.12606
4520,4.914464,12.29197,20.168,28.12676
4530,4.918487,12.29358,20.16898,28.12746
4540,4.922516,12.29519,20.16996,28.12817
4550,4.92655,12.2968,20.17095,28.12887
4560,4.93059,12.29842,20.17193,28.12958
4570,4.934636,12.30004,20.17292,28.13029
4580,4.938687,12.30167,20.17391,28.131
4590,4.942744,12.3033,20.1749,28.13171
4600,4.946806,12.30492,20.1759,28.13242
4610,4.950874,12.30656,20.1769,28.13314
4620,4.954947,12.3082,20.17789,28.13386
4630,4.959026,12.30984,20.1789,28.13457
4640,4.96311,12.31149,20.1799,28.13529
4650,4.9672,12.31313,20.1809,28.13601
4660,4.971295,12.31479,20.18191,28.13674
4670,4.975396,12.31644,20.18292,28.13746
4680,4.9795,12.3181,20.18394,28.13819
4690,4.983612,12.31976,20.18495,28.13892
4700,4.987729,12.32142,20.18596,28.13964
4710,4.991851,12.32309,20.18698,28.14037
4720,4.995978,12.32476,20.188,28.1411
4730,5.000111,12.32644,20.18903,28.14184
4740,5.004249,12.32812,20.19005,28.14257
4750,5.008392,12.3298,20.19107,28.14331
4760,5.01254,12.33148,20.1921,28.14405
4770,5.016694,12.33317,20.19313,28.14479
4780,5.020853,12.33486,20.19416,28.14553
4790,5.025018,12.33656,20.1952,28.14627
4800,5.029187,12.33826,20.19624,28.14701
4810,5.033362,12.33996,20.19728,28.14776
4820,5.037541,12.34166,20.19832,28.1485
4830,5.041727,12.34337,20.19936,28.14926
4840,5.045918,12.34508,20.20041,28.15001
4850,5.050113,12.34679,20.20146,28.15076
4860,5.054314,12.34851,20.20251,28.15151
4870,5.05852,12.35023,20.20356,28.15226
4880,5.062731,12.35196,20.20461,28.15302
4890,5.066947,12.35368,20.20567,28.15378
4900,5.071168,12.35542,20.20673,28.15453
4910,5.075394,12.35715,20.20778,28.1553
4920,5.079626,12.35889,20.20885,28.15606
4930,5.083862,12.36063,20.20991,28.15682
4940,5.088104,12.36237,20.21098,28.15758
4950,5.092351,12.36412,20.21205,28.15835
4960,5.096602,12.36587,20.21312,28.15912
4970,5.100859,12.36763,20.21419,28.15989
4980,5.105121,12.36938,20.21527,28.16066
4990,5.109387,12.37114,20.21635,28.16143
5000,5.113659,12.37291,20.21742,28.16221
5010,5.117936,12.37467,20.21851,28.16299
5020,5.122217,12.37644,20.21959,28.16376
5030,5.126503,12.37822,20.22067,28.16454
5040,5.130795,12.37999,20.22176,28.16533
5050,5.135091,12.38177,20.22285,28.16611
5060,5.139393,12.38356,20.22394,28.16689
5070,5.143699,12.38534,20.22504,28.16768
5080,5.14801,12.38713,20.22613,28.16846
5090,5.152326,12.38893,20.22723,28.16925
5100,5.156647,12.39072,20.22833,28.17004
5110,5.160972,12.39252,20.22943,28.17083
5120,5.165303,12.39433,20.23054,28.17163
5130,5.169638,12.39613,20.23164,28.17242
5140,5.173978,12.39794,20.23275,28.17322
5150,5.178323,12.39976,20.23386,28.17402
5160,5.182672,12.40157,20.23498,28.17481
5170,5.187027,12.40339,20.23609,28.17562
5180,5.191387,12.40521,20.23721,28.17642
5190,5.195751,12.40704,20.23833,28.17722
5200,5.200119,12.40887,20.23945,28.17803
5210,5.204493,12.4107,20.24057,28.17884
5220,5.20887,12.41254,20.2417,28.17964
5230,5.213253,12.41437,20.24282,28.18045
5240,5.217641,12.41622,20.24396,28.18126
5250,5.222034,12.41806,20.24509,28.18208
5260,5.226431,12.41991,20.24622,28.18289
5270,5.230832,12.42176,20.24736,28.18371
5280,5.235238,12.42362,20.24849,28.18453
5290,5.239649,12.42548,20.24963,28.18534
5300,5.244064,12.42734,20.25078,28.18616
5310,5.248485,12.4292,20.25192,28.18699
5320,5.252909,12.43107,20.25307,28.18781
5330,5.257339,12.43294,20.25422,28.18863
5340,5.261772,12.43482,20.25537,28.18946
5350,5.266211,12.43669,20.25652,28.19029
5360,5.270654,12.43857,20.25767,28.19112
5370,5.2751,12.44046,20.25883,28.19195
5380,5.279553,12.44235,20.25999,28.19278
5390,5.284009,12.44424,20.26115,28.19362
5400,5.28847,12.44613,20.26232,28.19445
5410,5.292936,12.44803,20.26348,28.19529
5420,5.297406,12.44993,20.26465,28.19613
5430,5.301879,12.45183,20.26582,28.19697
5440,5.306359,12.45374,20.26699,28.19781
5450,5.310842,12.45565,20.26816,28.19865
5460,5.315331,12.45756,20.26933,28.1995
5470,5.319822,12.45948,20.27051,28.20035
5480,5.324319,12.4614,20.27169,28.20119
5490,5.32882,12.46332,20.27287,28.20204
5500,5.333326,12.46525,20.27406,28.2029
5510,5.337835,12.46717,20.27525,28.20375
5520,5.34235,12.46911,20.27643,28.2046
5530,5.346868,12.47104,20.27762,28.20546
5540,5.35139,12.47298,20.27881,28.20631
5550,5.355918,12.47492,20.28001,28.20717
5560,5.36045,12.47687,20.28121,28.20803
5570,5.364985,12.47882,20.2824,28.20889
5580,5.369526,12.48077,20.28361,28.20975
5590,5.37407,12.48273,20.28481,28.21062
5600,5.378619,12.48468,20.28601,28.21149
5610,5.383172,12.48664,20.28722,28.21236
5620,5.387729,12.48861,20.28843,28.21322
5630,5.392291,12.49057,20.28964,28.2141
5640,5.396856,12.49255,20.29085,28.21497
5650,5.401426,12.49452,20.29206,28.21584
5660,5.406,12.4965,20.29328,28.21672
5670,5.410579,12.49848,20.2945,28.21759
5680,5.415161,12.50046,20.29572,28.21847
5690,5.419748,12.50245,20.29695,28.21935
5700,5.424339,12.50444,20.29817,28.22023
5710,5.428934,12.50643,20.2994,28.22112
5720,5.433534,12.50842,20.30063,28.222
