time,frequency,datetime
1571123482.74,19.2676871463,2019-10-15T07:11:22.740000Z
1571123485.79,18.6151288745,2019-10-15T07:11:25.790000Z
1571123503.48,20.9643386529,2019-10-15T07:11:43.480000Z
1571123506.41,20.9153967825,2019-10-15T07:11:46.410000Z
1571123524.1,16.8042796703,2019-10-15T07:12:04.100000Z
1571123527.54,17.2936983741,2019-10-15T07:12:07.540000Z
1571123533.77,20.2628385107,2019-10-15T07:12:13.770000Z
1571123544.87,21.387138985,2019-10-15T07:12:24.870000Z
1571123547.76,20.2091688849,2019-10-15T07:12:27.760000Z
1571123568.93,17.1861853752,2019-10-15T07:12:48.930000Z
1571123572.31,16.3488331354,2019-10-15T07:12:52.310000Z
1571123588.32,22.0683747055,2019-10-15T07:13:08.320000Z
1571123591.0,24.112081867,2019-10-15T07:13:11.000000Z
1571123611.72,18.1796541343,2019-10-15T07:13:31.720000Z
1571123614.77,17.5977652897,2019-10-15T07:13:34.770000Z
1571123631.3,21.0260738112,2019-10-15T07:13:51.300000Z
1571123634.22,23.6277475578,2019-10-15T07:13:54.220000Z
1571123653.38,16.3626963409,2019-10-15T07:14:13.380000Z
1571123656.45,16.6081372604,2019-10-15T07:14:16.450000Z
1571123672.54,20.8624465315,2019-10-15T07:14:32.540000Z
1571123675.46,21.0751619951,2019-10-15T07:14:35.460000Z
1571123774.25,18.5386983527,2019-10-15T07:16:14.250000Z
1571123791.58,20.4648669914,2019-10-15T07:16:31.580000Z
1571123794.58,20.4959342275,2019-10-15T07:16:34.580000Z
1571123811.8,16.9387356931,2019-10-15T07:16:51.800000Z
1571123814.94,16.9698029292,2019-10-15T07:16:54.940000Z
1571123831.86,21.210480658,2019-10-15T07:17:11.860000Z
1571123835.39,22.0492960329,2019-10-15T07:17:15.390000Z
1571123853.14,17.1346129098,2019-10-15T07:17:33.140000Z
1571123856.34,16.8532032515,2019-10-15T07:17:36.340000Z
1571123872.52,21.8622951694,2019-10-15T07:17:52.520000Z
1571123875.67,20.595951707,2019-10-15T07:17:55.670000Z
1571123894.45,18.3728154064,2019-10-15T07:18:14.450000Z
1571123897.53,16.4029477982,2019-10-15T07:18:17.530000Z
1571123914.95,20.6944450874,2019-10-15T07:18:34.950000Z
1571123918.07,20.764797502,2019-10-15T07:18:38.070000Z
1571123934.8,17.3617890256,2019-10-15T07:18:54.800000Z
1571123938.07,16.2386864933,2019-10-15T07:18:58.070000Z
1571123954.55,20.7310966226,2019-10-15T07:19:14.550000Z
1571123957.58,22.0315311338,2019-10-15T07:19:17.580000Z
1571123977.41,18.8247778506,2019-10-15T07:19:37.410000Z
1571123980.65,17.3617890256,2019-10-15T07:19:40.650000Z
1571123996.5,20.3025443406,2019-10-15T07:19:56.500000Z
1571124018.91,16.8256555701,2019-10-15T07:20:18.910000Z
1571124037.5,20.609971247,2019-10-15T07:20:37.500000Z
1571124040.31,21.2618911745,2019-10-15T07:20:40.310000Z
1571124059.59,16.7143521678,2019-10-15T07:20:59.590000Z
1571124062.83,16.9846604304,2019-10-15T07:21:02.830000Z
1571124078.61,21.2618911745,2019-10-15T07:21:18.610000Z
1571124081.98,20.2283595821,2019-10-15T07:21:21.980000Z
1571124101.82,16.5871482795,2019-10-15T07:21:41.820000Z
1571124120.1,20.4986678447,2019-10-15T07:22:00.100000Z
1571124123.34,21.3413936047,2019-10-15T07:22:03.340000Z
1571124140.33,16.6299960138,2019-10-15T07:22:20.330000Z
1571124160.0,21.4056703744,2019-10-15T07:22:40.000000Z
