duration,end_epoch,end_time,min_signal,peak_signal,peak_epoch,peak_time,start_epoch,start_time,snr,ambient_snr,peak_frequency,start_frequency,end_frequency,peak_frequency_std,start_frequency_std,end_frequency_std,threshold
0.48,1581287557.12,2020-02-09T22:32:37.120000Z,5.07568160201,25.3784080101,1581287556.96,2020-02-09T22:32:36.960000Z,1581287556.64,2020-02-09T22:32:36.640000Z,,,,,,,,,0.5
0.44,1581287565.4,2020-02-09T22:32:45.400000Z,1.23328695843,6.16643479213,1581287565.2,2020-02-09T22:32:45.200000Z,1581287564.96,2020-02-09T22:32:44.960000Z,,,,,,,,,0.5
0.96,1581287571.4,2020-02-09T22:32:51.400000Z,19.8669825531,99.3349127656,1581287571.12,2020-02-09T22:32:51.120000Z,1581287570.44,2020-02-09T22:32:50.440000Z,,,,,,,,,0.5
0.88,1581287578.64,2020-02-09T22:32:58.640000Z,7.57849227216,37.8924613608,1581287578.04,2020-02-09T22:32:58.040000Z,1581287577.76,2020-02-09T22:32:57.760000Z,,,,,,,,,0.5
0.4,1581287583.72,2020-02-09T22:33:03.720000Z,2.96267503669,6.0520507483,1581287583.56,2020-02-09T22:33:03.560000Z,1581287583.32,2020-02-09T22:33:03.320000Z,,,,,,,,,0.5
0.4,1581287590.32,2020-02-09T22:33:10.320000Z,2.52837458666,12.6418729333,1581287590.16,2020-02-09T22:33:10.160000Z,1581287589.92,2020-02-09T22:33:09.920000Z,,,,,,,,,0.5
0.48,1581287596.88,2020-02-09T22:33:16.880000Z,10.3330983739,51.6654918694,1581287596.64,2020-02-09T22:33:16.640000Z,1581287596.4,2020-02-09T22:33:16.400000Z,,,,,,,,,0.5
0.52,1581287604.32,2020-02-09T22:33:24.320000Z,2.85547708447,14.2773854223,1581287604.08,2020-02-09T22:33:24.080000Z,1581287603.8,2020-02-09T22:33:23.800000Z,,,,,,,,,0.5
0.92,1581287615.36,2020-02-09T22:33:35.360000Z,25.880119499,129.400597495,1581287615.12,2020-02-09T22:33:35.120000Z,1581287614.44,2020-02-09T22:33:34.440000Z,,,,,,,,,0.5
1.16,1581287622.36,2020-02-09T22:33:42.360000Z,2.70782944438,13.5391472219,1581287622.08,2020-02-09T22:33:42.080000Z,1581287621.2,2020-02-09T22:33:41.200000Z,,,,,,,,,0.5
1.32,1581287629.56,2020-02-09T22:33:49.560000Z,2.47424425412,12.3712212706,1581287629.36,2020-02-09T22:33:49.360000Z,1581287628.24,2020-02-09T22:33:48.240000Z,,,,,,,,,0.5
0.6,1581287638.8,2020-02-09T22:33:58.800000Z,8.99541659343,44.9770829671,1581287638.56,2020-02-09T22:33:58.560000Z,1581287638.2,2020-02-09T22:33:58.200000Z,,,,,,,,,0.5
0.4,1581287646.6,2020-02-09T22:34:06.600000Z,1.66334076827,8.31670384137,1581287646.4,2020-02-09T22:34:06.400000Z,1581287646.2,2020-02-09T22:34:06.200000Z,,,,,,,,,0.5
0.88,1581287656.0,2020-02-09T22:34:16.000000Z,23.8462240797,119.231120399,1581287655.36,2020-02-09T22:34:15.360000Z,1581287655.12,2020-02-09T22:34:15.120000Z,,,,,,,,,0.5
0.52,1581287661.6,2020-02-09T22:34:21.600000Z,10.6145066796,34.2752494967,1581287661.36,2020-02-09T22:34:21.360000Z,1581287661.08,2020-02-09T22:34:21.080000Z,,,,,,,,,0.5
0.52,1581287667.0,2020-02-09T22:34:27.000000Z,4.1721483039,20.8607415195,1581287666.76,2020-02-09T22:34:26.760000Z,1581287666.48,2020-02-09T22:34:26.480000Z,,,,,,,,,0.5
0.88,1581287672.72,2020-02-09T22:34:32.720000Z,3.18364737562,15.9182368781,1581287672.16,2020-02-09T22:34:32.160000Z,1581287671.84,2020-02-09T22:34:31.840000Z,,,,,,,,,0.5
0.56,1581287682.48,2020-02-09T22:34:42.480000Z,10.985887375,54.9294368751,1581287682.24,2020-02-09T22:34:42.240000Z,1581287681.92,2020-02-09T22:34:41.920000Z,,,,,,,,,0.5
0.36,1581287688.32,2020-02-09T22:34:48.320000Z,2.1010166055,10.5050830275,1581287688.16,2020-02-09T22:34:48.160000Z,1581287687.96,2020-02-09T22:34:47.960000Z,,,,,,,,,0.5
